代號,名稱,成交,財報季度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),累季ROE(%),累季ROE增減,年估ROE(%),累季ROA(%),累季ROA增減,年估ROA(%),財報評分,stock_id,filter_reason
"=""6590""",普鴻,73.6,25Q4,6.64,13.2,3.19,28.8,1.26,17.3,48.0,5.83,20.7,1.28,5.12,0.08,17.7,2.36,17.7,12.1,1.66,12.1,72,6590,成交值僅 0.0 億
"=""6613""",朋億*,210.0,25Q4,89.2,-14.1,28.9,-6.77,10.4,-18.7,32.4,2.56,14.8,0.29,13.37,-3.73,19.2,-7.25,19.2,10.9,-2.32,10.9,64,6613,成交值僅 2.1 億
"=""6643""",M31,484.0,25Q4,17.8,20.3,17.8,20.3,0.71,-44.4,100.0,0.0,3.96,-4.61,1.69,-1.36,3.7,-2.68,3.7,3.27,-2.31,3.27,57,6643,技術面未達標
"=""6651""",全宇昕,92.7,25Q4,15.0,3.91,5.21,1.93,2.18,-22.9,34.7,-0.67,14.5,-5.06,6.32,-1.9,17.0,-6.2,17.0,13.6,-2.07,13.6,57,6651,成交值僅 0.1 億
"=""6667""",信紘科,248.0,25Q4,63.5,75.2,12.9,51.1,6.54,48.7,20.3,-3.24,10.1,-1.92,13.77,4.08,28.2,2.57,28.2,11.9,0.54,11.9,62,6667,成交值僅 1.0 億
"=""6670""",復盛應用,281.0,25Q4,298.0,5.01,75.8,0.22,31.2,-17.8,25.4,-1.21,11.6,-2.75,22.45,-5.72,19.5,-8.41,19.5,12.2,-5.38,12.2,57,6670,成交值僅 1.6 億
"=""6683""",雍智科技,1285.0,25Q4,21.4,23.0,9.86,7.09,4.19,-12.7,46.1,-6.87,19.6,-8.02,15.42,-2.27,15.9,-4.19,15.9,13.0,-3.97,13.0,70,6683,技術面未達標
"=""6703""",軒郁,121.0,25Q4,32.9,-8.29,20.6,-7.25,3.24,7.92,62.6,0.7,9.66,1.63,9.9,-0.26,24.2,2.41,24.2,14.1,1.08,14.1,62,6703,成交值僅 0.1 億
"=""6712""",長聖,141.5,25Q4,10.2,8.96,7.21,17.2,4.29,16.9,70.9,4.96,42.2,2.88,4.88,0.33,25.9,5.67,25.9,20.7,3.3,20.7,81,6712,成交值僅 0.3 億
"=""6725""",矽科宏晟,232.5,25Q4,38.2,21.0,8.88,-8.73,4.29,-30.4,23.3,-7.58,11.2,-8.3,12.98,-5.7,22.3,-28.3,22.3,11.7,-8.42,11.7,60,6725,成交值僅 0.3 億
"=""6735""",美達科技,56.5,25Q4,3.43,-4.81,1.62,-17.3,0.15,-84.0,47.1,-7.15,4.38,-21.6,0.33,-1.8,1.52,-8.02,1.52,1.37,-7.23,1.37,57,6735,成交值僅 0.0 億
"=""6739""",竹陞科技,1200.0,25Q4,8.06,96.7,5.3,120.0,3.75,194.0,65.8,6.94,46.5,15.4,16.13,10.1,42.1,19.1,42.1,33.9,15.7,33.9,89,6739,盈虧比不足或已破支撐
"=""6741""",91APP*-KY,61.0,25Q4,18.1,11.6,13.4,11.3,5.08,1.95,74.2,-0.16,28.2,-2.53,4.4,0.18,15.8,-0.59,15.8,10.1,-0.68,10.1,77,6741,成交值僅 0.2 億
"=""6753""",龍德造船,130.5,25Q4,52.5,2.49,10.4,-10.3,6.84,-3.24,19.9,-2.84,13.0,-0.77,5.98,-0.27,16.3,-4.71,16.3,6.44,-0.91,6.44,55,6753,成交值僅 0.6 億
"=""6757""",台灣虎航,52.9,25Q4,169.0,2.9,46.8,-9.09,24.7,-11.0,27.7,-3.65,14.6,-2.28,5.37,-0.79,33.0,-13.7,33.0,10.2,-3.47,10.2,57,6757,成交值僅 0.3 億
"=""6782""",視陽,210.0,25Q4,42.2,15.0,19.1,33.9,8.87,39.4,45.2,6.39,21.0,3.61,14.08,3.98,21.7,2.68,21.7,15.7,2.96,15.7,77,6782,成交值僅 0.6 億
"=""6788""",華景電,362.5,25Q4,25.8,20.0,15.1,18.4,6.73,31.1,58.3,-0.75,25.9,2.43,17.36,3.02,25.1,0.63,25.1,18.5,1.28,18.5,84,6788,技術面未達標
"=""6805""",富世達,2000.0,25Q4,124.0,51.6,32.7,79.0,21.3,73.2,26.3,4.03,17.1,2.13,31.0,13.1,33.4,9.16,33.4,15.5,4.17,15.5,66,6805,盈虧比不足或已破支撐
"=""6856""",鑫傳,50.8,25Q4,7.64,19.2,5.21,20.2,0.74,-36.3,68.2,0.53,9.4,-8.38,2.62,-1.5,8.7,-5.37,8.7,6.71,-4.85,6.71,62,6856,成交值僅 0.0 億
"=""6887""",寶綠特-KY,42.6,25Q4,47.9,-12.0,11.0,-5.96,3.33,-32.1,22.9,1.48,6.94,-2.05,4.58,-2.93,12.9,-10.6,12.9,7.5,-4.19,7.5,52,6887,成交值僅 0.0 億
"=""6894""",衛司特,369.5,25Q4,13.8,40.7,5.03,35.7,2.62,29.2,36.5,-1.32,19.5,-1.77,10.99,2.49,17.1,3.05,17.1,13.0,2.01,13.0,66,6894,成交值僅 0.7 億
